Price,Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Last Sold Year,Last Sold For,Address,City,State,Zipcode,Address Full
415000.0,2308.0,-95.4186,29.798416,2091.0,3.0,4.0,2015.0,2019.0,125000.0," 1104 W 15th 1/2 St Houston, TX 77008 ",Houston,TX,77008.0,"1104 W 15th 1/2 St, Houston, TX 77008"
73700.0,1929.0,-106.43068,31.923517,8006.0,3.0,2.0,1981.0,2019.0,125000.0," 10713 Captain Valtr St El Paso, TX 79924 ",El Paso,TX,79924.0,"10713 Captain Valtr St, El Paso, TX 79924"
109000.0,750.0,-87.65221,41.9748,81021.6,1.0,1.0,1939.0,2000.0,99000.0," 5044 N Marine Dr #D8 Chicago, IL 60640 ",Chicago,IL,60640.0,"5044 N Marine Dr #D8, Chicago, IL 60640"
415000.0,3061.0,-111.720184,33.4422,6000.0,5.0,3.0,2015.0,2016.0,349990.0," 5127 E Hillview St Mesa, AZ 85205 ",Mesa,AZ,85205.0,"5127 E Hillview St, Mesa, AZ 85205"
385000.0,2350.0,-106.62469,35.182262,11325.6,4.0,2.0,2000.0,2019.0,125000.0," 8908 Ortega Ct NW Los Ranchos, NM 87114 ",Los Ranchos,NM,87114.0,"8908 Ortega Ct NW, Los Ranchos, NM 87114"
2775000.0,6949.0,-112.00056,33.51939,106722.00000000001,5.0,5.0,1960.0,2010.0,265000.0," 5609 N Camino Del Contento Paradise Valley, AZ 85253 ",Paradise Valley,AZ,85253.0,"5609 N Camino Del Contento, Paradise Valley, AZ 85253"
265000.0,1309.0,-111.7522,33.3176,5050.0,4.0,2.0,1998.0,2012.0,175000.0," 1756 E Patrick St Gilbert, AZ 85295 ",Gilbert,AZ,85295.0,"1756 E Patrick St, Gilbert, AZ 85295"
539990.0,2945.0,-81.25974,28.369368,7525.0,4.0,4.0,2015.0,2015.0,497800.0," 13720 Heaney Ave Orlando, FL 32827 ",Orlando,FL,32827.0,"13720 Heaney Ave, Orlando, FL 32827"
445000.0,2139.0,-110.873795,32.28143,52707.6,3.0,2.0,2002.0,2017.0,420000.0," 4105 N Via Tranquilo Tucson, AZ 85750 ",Tucson,AZ,85750.0,"4105 N Via Tranquilo, Tucson, AZ 85750"
679000.0,1525.0,-117.15581,32.92506,5000.0,3.0,2.0,1972.0,2017.0,550000.0," 11186 Berryknoll St San Diego, CA 92126 ",San Diego,CA,92126.0,"11186 Berryknoll St, San Diego, CA 92126"
300825.0,2537.0,-112.10913,33.772396,5400.0,3.0,4.0,2005.0,2018.0,300000.0," 2320 W Calle Marita Phoenix, AZ 85085 ",Phoenix,AZ,85085.0,"2320 W Calle Marita, Phoenix, AZ 85085"
239000.0,1186.0,-83.121124,42.45244,3920.0,3.0,2.0,1941.0,2018.0,213500.0," 736 Channing St Ferndale, MI 48220 ",Ferndale,MI,48220.0,"736 Channing St, Ferndale, MI 48220"
299280.0,1634.0,-97.08953,32.79967,2352.0,3.0,3.0,2019.0,2019.0,125000.0," 4503 Fossil Opal Ln Arlington, TX 76005 ",Arlington,TX,76005.0,"4503 Fossil Opal Ln, Arlington, TX 76005"
399000.0,807.0,-117.16057,32.71014,24393.600000000002,1.0,1.0,2006.0,2017.0,1850.0," 445 Island Ave #410 San Diego, CA 92101 ",San Diego,CA,92101.0,"445 Island Ave #410, San Diego, CA 92101"
314900.0,2480.0,-86.62661,36.145325,9000.0,3.0,3.0,1999.0,2015.0,259000.0," 3701 Lakeridge Pass Nashville, TN 37214 ",Nashville,TN,37214.0,"3701 Lakeridge Pass, Nashville, TN 37214"
415000.0,3354.0,-111.718155,33.239468,10548.0,4.0,2.5,2006.0,2006.0,423583.0," 3301 E Anika Dr Gilbert, AZ 85298 ",Gilbert,AZ,85298.0,"3301 E Anika Dr, Gilbert, AZ 85298"
